RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
1,Idli,101,Vijaya,15 mins,10 mins,25 mins,2024-01-01,Soft rice cakes served with sambar and chutney,idli.jpg,Breakfast,"idli, rice, steamed","2 cups rice, 1 cup urad dal","c(""Rice"", ""urad dal"", ""water"", ""salt"")",4.5,120,150,2,1,0,300,30,2,1,6,4,16 idlis,"c(""1. Soak rice and urad dal"","" 2. Grind to batter."","" 3. Steam in idli molds."")"
2,"Dosa",102,"Raj","10 mins","15 mins","25 mins","2024-01-02","Crispy rice crepes served with chutney","dosa.jpg","Breakfast","c(""dosa"", ""rice"", ""crepes"")","c(""2 cups rice"", ""1 cup urad dal"")","c(""Rice"", ""urad dal"", ""water"", ""salt"")",4.6,200,180,3,1.5,0,250,35,3,2,5,4,"8 dosas","c(""1. Soak rice and urad dal."","" 2. Grind to batter."","" 3. Cook on tawa."")"
3,"Pongal",103,"Anita","20 mins","10 mins","30 mins","2024-01-03","Savory rice and lentil dish","pongal.jpg","Breakfast","c(""rice"", ""lentils"", ""savory"")","c(""1 cup rice"", ""1/2 cup moong dal"")","c(""Rice"", ""moong dal"", ""black pepper"", ""cumin"")",4.7,150,200,4,2,0,300,40,5,1,7,4,"4 servings","c(""1. Cook rice and dal."","" 2. Season with spices."","" 3. Serve hot."")"
4,"Kurma Dosa",231,"Uma","20 mins","10 mins","30 mins","2024-04-05","Dosa served with a spicy vegetable kurma","kurmadosa.jpg","Dinner","c(""dosa"", ""kurma"", ""coconut"")","c(""1 cup dosa batter"", ""mixed veggies"", ""coconut"")","c(""Dosa batter"", ""carrots"", ""potatoes"", ""green beans"", ""coconut"", ""spices"")",4.7,160,250,7,2,0,200,40,5,3,6,4,"4 servings","c(""1. Prepare kurma with veggies and coconut."","" 2. Serve with dosas."")"
5,"Cabbage Poriyal",232,"Radha","15 mins","5 mins","20 mins","2024-04-07","Stir-fried cabbage with coconut","cabbageporiyal.jpg","Dinner","c(""cabbage"", ""coconut"", ""stir-fry"")","c(""1 small cabbage"", ""1/4 cup coconut"")","c(""Cabbage"", ""grated coconut"", ""mustard seeds"", ""curry leaves"")",4.5,110,120,4,1,0,150,15,4,2,2,4,"4 servings","c(""1. Sauté mustard seeds."","" 2. Add cabbage and coconut."","" 3. Cook and serve."")"
6,"Kaalan",233,"Ajay","25 mins","10 mins","35 mins","2024-04-09","Yam and coconut curry","kaalan.jpg","Dinner","c(""yam"", ""coconut"", ""curry"")","c(""1 cup yam"", ""1/2 cup yogurt"", ""coconut"")","c(""Yam"", ""yogurt"", ""grated coconut"", ""black pepper"", ""cumin seeds"")",4.6,140,160,6,2,5,180,20,5,3,4,4,"4 servings","c(""1. Cook yam."","" 2. Add yogurt and coconut paste."","" 3. Simmer with spices."")"
7,"Butter Paneer Masala",301,"Sunita","25 mins","15 mins","40 mins","2024-04-10","Creamy and rich paneer curry","paneerbuttermasala.jpg","Lunch","c(""paneer"", ""curry"", ""butter"")","c(""200g paneer"", ""1 cup tomato puree"", ""1/2 cup cream"")","c(""Paneer"", ""tomato puree"", ""butter"", ""cream"", ""spices"")",4.8,210,350,10,7,15,300,20,5,6,10,4,"4 servings","c(""1. Sauté spices and butter."","" 2. Add tomato puree and cream."","" 3. Cook paneer and serve."")"
8,"Chole Bhature",302,"Rakesh","30 mins","20 mins","50 mins","2024-04-11","Spiced chickpea curry served with fried bread","cholebhature.jpg","Lunch","c(""chole"", ""chickpeas"", ""bhature"")","c(""1 cup chickpeas"", ""2 cups flour"")","c(""Chickpeas"", ""flour"", ""spices"", ""oil"")",4.7,180,450,15,8,0,400,50,8,10,12,4,"4 servings","c(""1. Cook chickpeas with spices."","" 2. Prepare bhature dough and fry."","" 3. Serve together."")"
9,"Pulao",303,"Pooja","20 mins","10 mins","30 mins","2024-04-12","Fragrant basmati rice cooked with vegetables","pulao.jpg","Lunch","c(""pulao"", ""rice"", ""vegetables"")","c(""1 cup rice"", ""1 cup mixed veggies"")","c(""Rice"", ""peas"", ""carrots"", ""beans"", ""spices"")",4.6,150,300,8,5,0,220,40,3,2,7,4,"4 servings","c(""1. Sauté vegetables and spices."","" 2. Add rice and cook."","" 3. Serve hot."")"
10,"Upma",104,"Sarita","15 mins","10 mins","25 mins","2024-04-13","Savory semolina porridge with vegetables","upma.jpg","Breakfast","c(""upma"", ""semolina"", ""savory"")","c(""1 cup semolina"", ""1/2 cup mixed veggies"")","c(""Semolina"", ""carrots"", ""peas"", ""mustard seeds"", ""curry leaves"")",4.5,140,180,5,1,0,200,30,4,3,6,4,"4 servings","c(""1. Roast semolina."","" 2. Sauté veggies and spices."","" 3. Add water and cook semolina."")"
